76.355: [GC [PSYoungGen: 123716K->9337K(118592K)] 229791K->122968K(255168K), 0.0313090 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
94.363: [GC [PSYoungGen: 118585K->3840K(122880K)] 232216K->126403K(259456K), 0.0317250 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
97.407: [GC [PSYoungGen: 113088K->1264K(122048K)] 235651K->127378K(258624K), 0.0220080 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
100.591: [GC [PSYoungGen: 111088K->1536K(122752K)] 237202K->128770K(259328K), 0.0181320 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
100.609: [Full GC [PSYoungGen: 1536K->0K(122752K)] [ParOldGen: 127234K->123712K(209984K)] 128770K->123712K(332736K) [PSPermGen: 64599K->64563K(129216K)], 1.3974470 secs] [Times: user=2.79 sys=0.02, real=1.39 secs] 
105.303: [GC [PSYoungGen: 109824K->1536K(122624K)] 233536K->125248K(332608K), 0.0194700 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
108.667: [GC [PSYoungGen: 112512K->3040K(123264K)] 236224K->126752K(333248K), 0.0120610 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
112.106: [GC [PSYoungGen: 114016K->4512K(122880K)] 237728K->128224K(332864K), 0.0103550 secs] [Times: user=0.03 sys=0.00, real=0.43 secs] 
115.137: [GC [PSYoungGen: 117024K->5568K(123584K)] 240736K->129280K(333568K), 0.0126680 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
118.662: [GC [PSYoungGen: 118080K->6976K(124800K)] 241792K->130688K(334784K), 0.0337260 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
121.812: [GC [PSYoungGen: 120832K->7744K(121600K)] 244544K->131456K(331584K), 0.0138870 secs] [Times: user=0.02 sys=0.00, real=0.10 secs] 
125.016: [GC [PSYoungGen: 121600K->8800K(123136K)] 245312K->132512K(333120K), 0.0423330 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
129.166: [GC [PSYoungGen: 120096K->9952K(121280K)] 243808K->133664K(331264K), 0.0281840 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
133.011: [GC [PSYoungGen: 121248K->11072K(120576K)] 244960K->134784K(330560K), 0.0146010 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
151.418: [GC [PSYoungGen: 118016K->11616K(118592K)] 241728K->135328K(328576K), 0.0308080 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
243.747: [GC [PSYoungGen: 118560K->1424K(120576K)] 242272K->125136K(330560K), 0.0082000 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
395.167: [GC [PSYoungGen: 106064K->2623K(107264K)] 229776K->126335K(317248K), 0.0090020 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
397.965: [GC [PSYoungGen: 107263K->3503K(120832K)] 230975K->127215K(330816K), 0.0079280 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
400.856: [GC [PSYoungGen: 108719K->4927K(110144K)] 232431K->128639K(320128K), 0.0138520 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
403.879: [GC [PSYoungGen: 110143K->6319K(120640K)] 233855K->130031K(330624K), 0.0100770 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
406.944: [GC [PSYoungGen: 112751K->7439K(120064K)] 236463K->131463K(330048K), 0.0189770 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
410.169: [GC [PSYoungGen: 113871K->8982K(121792K)] 237895K->133055K(331776K), 0.0158670 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
412.709: [GC [PSYoungGen: 117270K->10087K(118400K)] 241343K->134191K(328384K), 0.0176600 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
415.967: [GC [PSYoungGen: 118375K->11135K(120128K)] 242479K->135271K(330112K), 0.0165680 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
419.284: [GC [PSYoungGen: 116671K->12079K(117632K)] 240807K->136303K(327616K), 0.0169360 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
422.852: [GC [PSYoungGen: 117615K->13071K(117696K)] 241839K->137335K(327680K), 0.0185030 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
425.571: [GC [PSYoungGen: 114255K->13951K(115136K)] 238519K->138263K(325120K), 0.0169810 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
429.188: [GC [PSYoungGen: 115135K->15279K(114688K)] 239447K->139607K(324672K), 0.0206530 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
438.571: [GC [PSYoungGen: 111087K->15830K(111680K)] 235415K->140167K(321664K), 0.0388630 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
572.755: [GC [PSYoungGen: 111638K->2183K(114496K)] 235975K->126631K(324480K), 0.0069800 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
739.768: [GC [PSYoungGen: 95047K->2591K(114688K)] 219495K->127295K(324672K), 0.0369140 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
761.286: [GC [PSYoungGen: 95455K->1984K(114112K)] 220159K->127620K(324096K), 0.0234170 secs]
